Filenames,Minion,SolverTotalTime,SolverSolveTime,SavileRowTotalTime,SolverNodes,SolverSolutionsFound,Rows,Columns,TotalGrids,NumColoured,ProportionColoured,UUID,STEPS
fixed0.param,SACBounds,0.000477,1.7e-05,0.332,1,1,3,4,12,6,0.5,ba88b973-9e28-47ad-969a-7d0a295fda99,1
fixed1.param,SACBounds,0.000516,1.9e-05,0.356,1,1,3,4,12,5,0.42,ba88b973-9e28-47ad-969a-7d0a295fda99,0
fixed0.param,SACBounds,0.00091,5e-05,0.35,3,2,3,4,12,5,0.42,82d958e1-135a-436d-8de4-0b296c33c731,0
fixed0.param,SACBounds,0.000533,2.7e-05,0.249,1,1,3,4,12,6,0.5,82d958e1-135a-436d-8de4-0b296c33c731,1
fixed1.param,SACBounds,0.00191,0.000141,0.247,3,2,3,4,12,5,0.42,82d958e1-135a-436d-8de4-0b296c33c731,0
fixed1.param,SACBounds,0.000477,1.7e-05,0.242,1,1,3,4,12,6,0.5,82d958e1-135a-436d-8de4-0b296c33c731,1
fixed0.param,SACBounds,0.000548,2e-05,0.257,1,1,3,4,12,5,0.42,aba346e0-e699-4e84-bd47-deb944ebc4b8,0
fixed1.param,SACBounds,0.000485,1.7e-05,0.31,1,1,3,4,12,5,0.42,aba346e0-e699-4e84-bd47-deb944ebc4b8,0
fixed0.param,SACBounds,0.000414,2e-05,0.268,1,1,3,4,12,5,0.42,9fda8198-ec4d-4ccf-9616-aead1dbe2ebb,0
fixed1.param,SACBounds,0.000682,2.4e-05,0.241,1,1,3,4,12,5,0.42,9fda8198-ec4d-4ccf-9616-aead1dbe2ebb,0
fixed0.param,SACBounds,0.000528,2.3e-05,0.306,1,1,3,4,12,5,0.42,08fd1634-0ef7-4304-8136-ea1adaffbf2b,0
fixed1.param,SACBounds,0.000524,2.3e-05,0.282,1,1,3,4,12,5,0.42,08fd1634-0ef7-4304-8136-ea1adaffbf2b,0
fixed0.param,SACBounds,0.001523,0.000119,0.243,3,2,3,4,12,5,0.42,95cfa59e-d898-4067-aea6-92431c024780,0
fixed0.param,SACBounds,0.000493,1.7e-05,0.31,1,1,3,4,12,6,0.5,95cfa59e-d898-4067-aea6-92431c024780,1
fixed1.param,SACBounds,0.000426,1.1e-05,0.259,1,1,3,4,12,5,0.42,95cfa59e-d898-4067-aea6-92431c024780,0
fixed2.param,SACBounds,0.001103,8.6e-05,0.27,3,2,3,4,12,5,0.42,95cfa59e-d898-4067-aea6-92431c024780,0
fixed2.param,SACBounds,0.000457,1.5e-05,0.294,1,1,3,4,12,6,0.5,95cfa59e-d898-4067-aea6-92431c024780,1
fixed0.param,SACBounds,0.000769,4.7e-05,0.292,3,2,3,4,12,5,0.42,69efbeb3-f8ca-4321-a911-2a7d9e3ee433,0
fixed0.param,SACBounds,0.000416,1.7e-05,0.283,1,1,3,4,12,6,0.5,69efbeb3-f8ca-4321-a911-2a7d9e3ee433,1
fixed1.param,SACBounds,0.00202,0.00034,0.272,5,3,3,4,12,5,0.42,69efbeb3-f8ca-4321-a911-2a7d9e3ee433,0
fixed1.param,SACBounds,0.000432,1.8e-05,0.264,1,1,3,4,12,6,0.5,69efbeb3-f8ca-4321-a911-2a7d9e3ee433,1
fixed2.param,SACBounds,0.000485,1.7e-05,0.237,1,1,3,4,12,5,0.42,69efbeb3-f8ca-4321-a911-2a7d9e3ee433,0
fixed0.param,SACBounds,0.000464,2.1e-05,0.295,1,1,3,2,6,3,0.5,fb5d3bf6-0826-4f69-922f-6fdbc7f2adf0,0
fixed1.param,SACBounds,0.000294,1.1e-05,0.273,1,1,3,2,6,3,0.5,fb5d3bf6-0826-4f69-922f-6fdbc7f2adf0,0
fixed0.param,SACBounds,0.000415,3.9e-05,0.21,1,1,2,3,6,1,0.17,68dbbe75-0fa5-4672-b424-f56879d79d82,0
fixed0.param,SACBounds,0.000597,2.1e-05,0.236,1,1,3,4,12,3,0.25,9d68da12-3871-4845-87cd-21840e969de7,0
fixed1.param,SACBounds,0.000356,1e-05,0.221,1,1,3,4,12,3,0.25,9d68da12-3871-4845-87cd-21840e969de7,0
fixed0.param,SACBounds,0.00113,0.000101,0.323,3,2,4,5,20,3,0.15,c56a6060-a187-4b83-9cbc-5ace01d97439,0
fixed0.param,SACBounds,0.000357,1e-05,0.347,1,1,4,5,20,4,0.2,c56a6060-a187-4b83-9cbc-5ace01d97439,1
fixed1.param,SACBounds,0.00114,9.3e-05,0.298,3,2,4,5,20,3,0.15,c56a6060-a187-4b83-9cbc-5ace01d97439,0
fixed1.param,SACBounds,0.000543,2.9e-05,0.257,1,1,4,5,20,4,0.2,c56a6060-a187-4b83-9cbc-5ace01d97439,1
fixed2.param,SACBounds,0.000552,1.8e-05,0.322,1,1,4,5,20,3,0.15,c56a6060-a187-4b83-9cbc-5ace01d97439,0
fixed0.param,SACBounds,0.000709,4.6e-05,0.227,3,2,3,4,12,3,0.25,1d9682b3-7759-4398-aece-184869acc1d0,0
fixed0.param,SACBounds,0.000487,1.8e-05,0.228,1,1,3,4,12,4,0.33,1d9682b3-7759-4398-aece-184869acc1d0,1
fixed0.param,SACBounds,0.000329,1.2e-05,0.228,1,1,3,4,12,3,0.25,4ce2b29d-5562-4bb0-949c-e5efa5d40c18,0
fixed1.param,SACBounds,0.001077,7.5e-05,0.222,3,2,3,4,12,3,0.25,4ce2b29d-5562-4bb0-949c-e5efa5d40c18,0
fixed1.param,SACBounds,0.000504,2e-05,0.234,1,1,3,4,12,4,0.33,4ce2b29d-5562-4bb0-949c-e5efa5d40c18,1
fixed2.param,SACBounds,0.002017,0.000748,0.272,11,6,3,4,12,3,0.25,4ce2b29d-5562-4bb0-949c-e5efa5d40c18,0
fixed2.param,SACBounds,0.001109,8.7e-05,0.269,3,2,3,4,12,4,0.33,4ce2b29d-5562-4bb0-949c-e5efa5d40c18,1
fixed2.param,SACBounds,0.000492,1.9e-05,0.285,1,1,3,4,12,5,0.42,4ce2b29d-5562-4bb0-949c-e5efa5d40c18,2
fixed3.param,SACBounds,0.000352,1.2e-05,0.272,1,1,3,4,12,3,0.25,4ce2b29d-5562-4bb0-949c-e5efa5d40c18,0
fixed4.param,SACBounds,0.00049,1.7e-05,0.227,1,1,3,4,12,3,0.25,4ce2b29d-5562-4bb0-949c-e5efa5d40c18,0
fixed0.param,SACBounds,0.000287,1e-05,0.17,1,1,1,3,3,1,0.33,95e88751-efa2-4ca6-aadd-e21ec8315dc9,0
fixed0.param,SACBounds,0.000289,1.2e-05,0.171,1,1,2,2,4,1,0.25,dddcd579-c4dc-471e-ac75-14ef0dc47707,0
fixed0.param,SACBounds,0.000286,1.1e-05,0.173,1,1,2,2,4,1,0.25,869bee87-e2d6-4b4c-b28a-dfd14d27ac69,0
fixed1.param,SACBounds,0.000275,1e-05,0.176,1,1,2,2,4,1,0.25,869bee87-e2d6-4b4c-b28a-dfd14d27ac69,0
